"state","id","share"
"South Carolina","45",73.7
"South Dakota","46",78.3
"Tennessee","47",74.3
"Texas","48",72.6
"Utah","49",85.2
"Virginia","51",77.2
"Vermont","50",85.7
"Washington","53",85.1
"West Virginia","54",70.6
"Wisconsin","55",80.7
"Wyoming","56",82.9
